Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,30
Apa yang dimaksud dengan komputer? (Jawab dalam 1-3 kalimat) ,te_1,6
"Komputer adalah alat yang dapat digunakan untuk mengolah suatu data menurut prosedur yang telah dirumuskan dalam komputer itu sendiri. komputer juga dapat digunakan untuk membantu perhitungan aritmetika, serta untuk pengolahan suatu informasi. ",te_1,31.66666667
suatu mesin yang bisa mengerti saya ,te_1,5.333333333
komputer adalah alat pengolah data menurut prosedur yang telah di rumuskan ,te_1,25
"komputer adalah alat elektronik yang memiliki komputasi yang sangat tinggi dengan spesifikasi seperti menggunakan windows 10 untuk kerjaan kantor, bermain game, menonton film. ",te_1,21.66666667
"Komputer adalah alat bantu hitung manusia, yang sekarang sudah dikembangkan dapat membantu banyak tugas manusia. ",te_1,29.66666667
"alat elektronik yang dapat menghitung dan menganalisa data secara cepat dan cermat, dapat juga menjalankan aplikasi multimedia. ",te_1,20.66666667
alat yang dipakai untuk mengelola data ,te_1,10.66666667
"adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,39.33333333
"pada awal komputer adalah mesin hitung untuk memudahkan pekerjaan manusia. saat ini komputer dapat digunakan untuk hal lain seperti bermain game, bekerja, mendengarkan musik dll. ",te_1,26.33333333
Komputer adalah mesin hitung. komputer digunakan untuk mengolah data dengan menggunakn mesin. Komputer saat ini sudah berkembang secara pesat. ,te_1,20.66666667
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,41
alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan dimana komputer itu sendiri merupakan perangkat elektronik yang terdiri dari beberapa komponen yang saling bekerja sama membentuk sebuah sistem kerja yang dapat menjalankan pekerjaan secara otomatis berdasar urutan instruksi ataupun program yang diberikan kepadanya sehingga dapat menghasilkan suatu informasi berdasarkan program dan data yang ada. ,te_1,29.33333333
Secara umum komputer adalah sekumpulan alat elektronik dimana satu dengan yang lainnya saling bekerja sama terkoordinasi dibawah kontrol program dengan kemampuan dapat menerima data dan mengolah data. ,te_1,28.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,40
Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan ,te_1,26.66666667
"adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,28.33333333
"menerima, mengolah dan memberikan informasi ",te_1,7.333333333
tempat menerima dan mengolah data ,te_1,6
"Komputer adalah sebuah alat yang digunakan untuk manipulasi data, komputer berisi hardware, software, dan brainware. ",te_1,11.66666667
"komputer adalah sebuah mesin yang berfungsi untuk mempermudah pekerjaan manusia yang berawal dari mesin ketik biasa, komputer menggunakan bahasa mesin. ",te_1,25.33333333
mesin pegolah kata ,te_1,6.333333333
komputer adalah sebuah hardware yg berfungsi membantu manusia untuk bekerja ,te_1,21.66666667
alat untuk mempermudah pekerjaan manusia. alat untuk mempersingkat waktu dalam pekerjaan ,te_1,22.33333333
komputer adalah alat bantu manusia yang dapat digunakan untuk mempermudah pekerjaan manusia ,te_1,25
"komputer adalah alat komputasi elektronik. yang mana berguna untuk meringankan pekerjaan manusia dalam proses perhitungan, pengolahan data, dan lainnya. ",te_1,24.33333333
"alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,28.66666667
"Serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. ",te_1,27.33333333
komputer adalah alat yang digunakan untuk mengolah data dan angka ,te_1,10.66666667
alat elektronik yang terdiri dari hardware dan software untuk mejalankan atau melakukan tugas tertentu ,te_1,12.33333333
"- Teknologi informasi dapat digunakan untuk mengontrol jumlah barang yang dihasilkan dan jumlah barang yang keluar, sehingga ddata yang ada dapat lebih mudah diakses dan teliti. - Kegiatan pemasaran yang memanfaatkan Teknologi informasi seperti promosi produk via internet, penjualan barang secara online, dan penyedia jasacustomer serviceonline. - Dalam bidang manajemen karyawan, Teknologi informasi mempermudah manajer untuk mencari informasi tentang karyawannya.",te_2,28.33333333
"bisnis menjadi lebih efisien, efektif, jangkauan pemasaran lebih luas, peluang lebih besar ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",26.66666667
"mempersingkat waktu,memperoleh koneksi bisnis dengan cepat.. mempromosikan produk dengan cepat ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",26
1. Mempersingkat waktu. 2. Memudahkan dalam transaksi. 3. Memudahkan dalam melihat barang belanjaan. ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",26.66666667
untuk memudahkan kehidupan ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",6.333333333
"Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan,Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau peroranga, Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",25.66666667
"dapat memudahkan proses perencanaan, distribusi, dan produksi dalam kegiatan bisnis ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",24.33333333
Penerapan Teknologi Informasi Dunia Bisnis .Teknologi Informasi dimanfaatkan untuk perdagangan secara elektronik atau dikenal sebagai E-Commerce. E-Commerce adalah perdagangan menggunakan jaringan internet. ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",23.33333333
-Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",27.33333333
"1. Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan. 2, Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau perorangan 3. Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",29
"Memperluas Pangsa Pasar, Mengurangi biaya produksi dan operasional, Mempermudah proses komunikasi dan monitoring setiap karyawan, Munculnya peluang bisnis baru yakni E-Business ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",46.66666667
Dapat menyimpan file-file yang penting ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",12.66666667
"mempercepat kinerja bisnis, membuat pekerjaan bisnis jadi lebih mudah, mempermudah memonitoring karyawan. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",24.66666667
1. untuk pengembang bisnis 2. untuk memperluas bisnis 3. untuk mengenalkan bisnis kita ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",22.33333333
"untuk memudahkan pemasaran , memudahkan pengolahan data , sarana yang mudah bagi masyarakat ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",30
"mempermudah koneksi antar perusahaan, menambah penghasilan secara cepat ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",28
-lebih efisien -lebih hemat -lebih aman,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",27
"mempermudah transaksi bisnis, mempermudah kegiatan promosi, mempermudah proses pendidikan ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",23.66666667
Berikut ini adalah keuntungan dari teknologi Informasi dan komunikasi : 1. Membantu mempercepat pekerjaan manusia 2. Mempermudah komunikasi jarak jauh. 3. Mempermudah sistem administrasi 4. Mempermudah proses transaksi keuangan ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",44
"praktis, memudahkan ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",10
kecepatan transaksi. kenyamanan pelanggan. ketepatan transaksi. ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",19
- Sebagai media pemasaran / transaksi - Sebagai media komunikasi - Sebagai media promosi,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",27.33333333
"-Dengan adanya Teknologi, kita dapat memanfaatkannya untuk promosi produk kepada konsumen -kita dapat mengembangkan produk yang kita buat Dengan mudah Dengan bantuan informasi yang terbaru -kita dapat menciptakan sesuatu yang baru dan unik untuk produk yang kita buat Dengan memanfaatkan Teknologi yang sedang berkembang saat ini","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",40
-mempermudah Dalam menjalankan Bisnis -memberikan layanan yang real time -praktis -mudah -cepat -efektif dan efisen -aman,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",25.66666667
bisnis dapat terstruktur dengan lebih baik lebih mudah mengelolanya ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",19
"bisnis dapat menjadi lebih terstruktur, lebih mudah pengelolaannya, dan kita dapat memantau traffic bisnis yang sedang berjalan sehingga dapat meningkatkan produksi barang dan keuntungan perusahaan. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",25.66666667
"Pemasaran semakin luas dan mudah, Pengelolaan data atau uang menjadi lebih mudah dan tidak ada kacau. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",27.33333333
-mempermudah Dalam bidang pemasaran. -mempermudah Dalam bidang pembayaran. -mempermudah Dalam mereview produk.,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",23.66666667
mempermudah dalam transaksi jual beli ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",19.33333333
- mendapat keuntungan - memudahkan transaksi - memudahkan mengirim uang,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",26.66666667
- cepat - efektif - efisien - praktis - mudah,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",23
-mempermudah proses transaksi Bisnis -memperluas jangkauan pasar -memudahkan dokumentasi berkas,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",24.33333333
"Menghemat waktu karena pesan lebih cepat diterima oleh penerima pengirim tidak perlu menunggu lama agar pesannya dibaca oleh penerima, Menghemat tenaga dan biaya karena pengirim tidak perlu datang ke kantor pos untuk mengirim surat, Menghemat biaya karena dengan internet messenger dapat melakukan komunikasi jarak jauh, Dapat bertatapan langsung dengan lawan bicara jika komputernya dilengkapi dengan webcam, yaitu alat yang berupa kamera, Memudahkan pencarian dokumen, karena dokumen tersimpan dengan rapi dan lebih aman jika dibandingkan dengan penyimpanan secara manual. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",43.33333333
- membantu mempercepat pekerjaan manusia - mempermudah sistem administrasi - mempermudah proses transaksi keuangan - mempermudah sistem administrasi - mempermudah Kegiatan promosi dan pemasaran suatu produk,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",42.66666667
-Kemajuan Teknologi komunikasi yang cepat dapat mempermudah komunikasi antara suatu tempat dan tempat yang lain. -Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",39.33333333
"- Membantu mempercepat pekerjaan manusia. Dengan menggunakan teknologi informasi dan komunikasi, pekerjaan manusia akan menjadi lebih cepat dan mudah. Misalnya, proses pembuatan proposal yaysan sosial, apabila menggunakan mesin ketik, maka diperlukan wakt","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",24
-Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",24.66666667
- komunikasi yang cepat - Teknologi Sebagai media promosi - Kecepatan bertransaksi - jangkauan pasar yang luas,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",29.33333333
- Munculnya peluang Bisnis baru yakni e-Business. - memperluas Pangsa Pasar. - Mengurangi biaya produksi dan operasional.,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",30.33333333
memperbanyak keuntungan. mempermudah pekerjaan. biaya rendah ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",23.33333333
"tidak ada jarak tempat aantara penjual dan pembeli, tidak ada jarak tempat aantara penjual dan pembeli, ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",27.66666667
"Kegiatan bisnis mudah berjalan, tidak ada batas jarak antara penjual dan pembeli, tidak ada batas waktu antara penjual dan pembeli. ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",31.66666667
"mempermudah dalam pengolahan data-data yang ada dalam dunia bisnis, ","- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",11.66666667
pekerjaan lebih efisien menejemen database mudah melakukan transaksi ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis",21.66666667
